seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189212;10/01/2025;CONJUGE;SECRETARIA DE EDUCACAO;1942,38;POUSO ALEGRE;MG;20/01/2025;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189213;06/01/2025;CONJUGE;SECRETARIA DA FAZENDA;23467,49;BELO HORIZONTE;MG;16/01/2025;23/01/2025;27/01/2025;Janeiro;3;;;;;;
189215;24/01/2025;COMPANHEIRO(A);DER DEP ESTRADAS E RODAGEM MG;6267,61;CORONEL FABRICIANO;MG;13/05/2024;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189216;20/01/2025;CONJUGE;SECRETARIA DA FAZENDA;7639,13;TARUMIRIM;MG;20/01/2025;23/01/2025;27/01/2025;Janeiro;3;;;;;;
189217;20/01/2025;FILHO(A);SECRETARIA DA FAZENDA;7639,13;TARUMIRIM;MG;20/01/2025;23/01/2025;27/01/2025;Janeiro;3;;;;;;
189218;18/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;1982,78;CONTAGEM;MG;21/01/2025;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189219;09/12/2024;FILHO(A);SECRETARIA DA FAZENDA;1518;SAO JOSE DA LAPA;MG;09/12/2024;23/01/2025;27/01/2025;Janeiro;3;;;;;;
189220;09/12/2024;FILHO(A);SECRETARIA DA FAZENDA;1518;SAO JOSE DA LAPA;MG;09/12/2024;23/01/2025;27/01/2025;Janeiro;3;;;;;;
189221;12/12/2024;FILHO(A);SECRETARIA DE EDUCACAO;1518;BURITIZEIRO;MG;10/01/2025;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189223;11/01/2025;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1987,06;VARGINHA;MG;20/01/2025;24/01/2025;24/01/2025;Janeiro;1;;;;;;
189224;04/01/2025;CONJUGE;POLICIA CIVIL;12100,82;CAMPO DO MEIO;MG;22/01/2025;23/01/2025;27/01/2025;Janeiro;3;;;;;;
189226;12/09/2024;COMPANHEIRO(A);TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;24590,4;PARAISOPOLIS;MG;18/10/2024;24/10/2024;27/01/2025;Janeiro;68;;;;;;
